"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: Varies"
"Location","Stay At Home Order","Non-Essential Business Closures","Large Gatherings Ban","State-Mandated School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Statewide (16); Affected Counties (1); High-risk Groups (4); Other (4); No Action (26)","All Non-Essential Businesses (21); All Non-Essential Retail Businesses (3); Other (3); No Action (24)","All Gatherings Prohibited (13); >10 Prohibited (23); 25+ Prohibited (1); 50+ Prohibited (4); Other (2); No action (8)","Yes (46); Effectively Closed (1); Other (1); No (3)","Closed except for takeout/delivery (44); Limited on-site service (4); Other (2); No action (1)","Yes (11); No (40)","Yes (51); No (0)"
"New Jersey","Statewide","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"New Mexico","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Limited On-site Service","-","Yes","5"
"New York","High-risk Groups","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"North Carolina","-","-","50+ People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","5"
"North Dakota","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Ohio","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Oklahoma","High-risk Groups","Other",">10 People Prohibited","Yes","Other","-","Yes","7"
"Oregon","Statewide","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Pennsylvania","Affected Counties","All Non-Essential Businesses","-","Yes","Closed except for takeout/delivery","-","Yes"
"Rhode Island","Other","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes","1"
"South Carolina","-","-","50+ People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"South Dakota","-","-",">10 People Prohibited","Yes","-","-","Yes"
"Tennessee","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Texas","Other","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","1"
"Utah","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Vermont","Statewide","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","8"
"Virginia","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Washington","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"West Virginia","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Wisconsin","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Wyoming","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Notes"
"For purposes of this table, states were included if they mandated the listed actions. A number of states released guidance or recommendations related to the actions listed in this table but fell short of issuing a requirement and are thus not included."


Footnotes
"1. AK, FL, KS, and RI require a mandatory 14-day quarantine for travelers."
"2. Closes non-essential businesses in two affected boroughs."
"3. While the CA governor has not officially mandated the statewide closure of schools, the state's mandatory quarantine order effectively closes all schools."
"4. All non-essential businesses must reduce in-person workforce by at least 50%."
"5. Please see links in Sources tab for more details."
"6. Nebraska has enacted a large gatherings ban, school closure, and bar/restaurant limits in counties where community spread has been confirmed."
"7. OK has mandated closure of all non-essential businesses and limited bar/restaurants to carry-out and delivery only in affected counties"
"8. Gatherings also limited to 50% of venue capacity if such limitation would be under 50 people."

