"Title: State Data and Policy Actions to Address Coronavirus | The Henry J. Kaiser Family Foundation"
"Timeframe: Varies"
"Location","Mandatory Quarantine","Non-Essential Business Closures","Large Gatherings Ban","State-Mandated School Closures","Bar/Restaurant Limits","Primary Election Postponement","Emergency Declaration",Footnotes
"United States","Statewide (14); Affected Counties (2); High-risk Groups (7); No Action (28)","All Non-Essential Businesses (21); All Non-Essential Retail Businesses (3); Other (2); No Action (25)","All Gatherings Prohibited (12); >10 Prohibited (24); 25+ Prohibited (1); 50+ Prohibited (4); Other (2); No action (8)","Yes (46); Effectively Closed (1); Other (1); No (3)","Closed except for takeout/delivery (43); Limited on-site service (4); Other (1); No action (5)","Yes (11); No (40)","Yes (51); No (0)"
"Kansas","High-risk Groups","-",">10 People Prohibited","Yes","Limited On-site Service","-","Yes"
"Kentucky","-","All Non-Essential Retail Businesses","Other","Yes","Closed except for takeout/delivery","Yes","Yes","4"
"Louisiana","Statewide","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Maine","-","All Non-Essential Businesses",">10 People Prohibited","-","Closed except for takeout/delivery","-","Yes"
"Maryland","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Massachusetts","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Michigan","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Minnesota","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Mississippi","-","-",">10 People Prohibited","Yes","Limited On-site Service","Yes","Yes"
"Missouri","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Montana","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Nebraska","-","-","Other","Other","Other","-","Yes","5"
"Nevada","-","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","4"
"New Hampshire","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"New Jersey","Statewide","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"New Mexico","-","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Limited On-site Service","-","Yes","4"
"New York","High-risk Groups","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"North Carolina","-","-","50+ People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","4"
"North Dakota","-","-","-","Yes","Closed except for takeout/delivery","-","Yes"
"Ohio","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"Oklahoma","High-risk Groups","All Non-Essential Businesses",">10 People Prohibited","Yes","-","-","Yes"
"Oregon","Statewide","All Non-Essential Retail Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Pennsylvania","Affected Counties","All Non-Essential Businesses","-","Yes","Closed except for takeout/delivery","-","Yes"
"Rhode Island","High-risk Groups","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","Yes","Yes"
"South Carolina","-","-","50+ People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"South Dakota","-","-",">10 People Prohibited","Yes","-","-","Yes"
"Tennessee","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Texas","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Utah","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Vermont","Statewide","All Non-Essential Businesses",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes","6"
"Virginia","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Washington","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"West Virginia","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Wisconsin","Statewide","All Non-Essential Businesses","All Gatherings Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Wyoming","-","-",">10 People Prohibited","Yes","Closed except for takeout/delivery","-","Yes"
"Notes"
"For purposes of this table, states were included if they mandated the listed actions. A number of states released guidance or recommendations related to the actions listed in this table but fell short of issuing a requirement and are thus not included."


Footnotes
"1. Closes non-essential businesses in two affected boroughs."
"2. While the CA governor has not officially mandated the statewide closure of schools, the state's mandatory quarantine order effectively closes all schools."
"3. All non-essential businesses must reduce in-person workforce by at least 50%."
"4. Please see links in Sources tab for more details."
"5. Nebraska has enacted a large gatherings ban, school closure, and bar/restaurant limits in counties where community spread has been confirmed."
"6. Gatherings also limited to 50% of venue capacity if such limitation would be under 50 people."

